Date,bitcoin_Open,bitcoin_High,bitcoin_Low,bitcoin_Close,bitcoin_Volume,bitcoin_Market Cap,iota_Open,iota_High,iota_Low,iota_Close,iota_Volume,iota_Market Cap,bitcoin_cash_Open,bitcoin_cash_High,bitcoin_cash_Low,bitcoin_cash_Close,bitcoin_cash_Volume,bitcoin_cash_Market Cap,bitconnect_Open,bitconnect_High,bitconnect_Low,bitconnect_Close,bitconnect_Volume,bitconnect_Market Cap,waves_Open,waves_High,waves_Low,waves_Close,waves_Volume,waves_Market Cap,stratis_Open,stratis_High,stratis_Low,stratis_Close,stratis_Volume,stratis_Market Cap,ripple_Open,ripple_High,ripple_Low,ripple_Close,ripple_Volume,ripple_Market Cap,qtum_Open,qtum_High,qtum_Low,qtum_Close,qtum_Volume,qtum_Market Cap,ethereum_classic_Open,ethereum_classic_High,ethereum_classic_Low,ethereum_classic_Close,ethereum_classic_Volume,ethereum_classic_Market Cap,omisego_Open,omisego_High,omisego_Low,omisego_Close,omisego_Volume,omisego_Market Cap,numeraire_Open,numeraire_High,numeraire_Low,numeraire_Close,numeraire_Volume,numeraire_Market Cap,nem_Open,nem_High,nem_Low,nem_Close,nem_Volume,nem_Market Cap,litecoin_Open,litecoin_High,litecoin_Low,litecoin_Close,litecoin_Volume,litecoin_Market Cap,ethereum_Open,ethereum_High,ethereum_Low,ethereum_Close,ethereum_Volume,ethereum_Market Cap,dash_Open,dash_High,dash_Low,dash_Close,dash_Volume,dash_Market Cap,monero_Open,monero_High,monero_Low,monero_Close,monero_Volume,monero_Market Cap
9/5/17,4228.29,4427.84,3998.11,4376.53,2697970000.00,69954400000.00,0.544132,0.646085,0.468949,0.613085,45817500.00,1512430000.00,514.9,550.95,458.78,541.71,338978000.00,8527100000.00,114.74,131.57,108.93,129.42,8537600.00,756793000.00,4.68,5.1,4.32,4.98,6194560.00,467862000.00,5.79,6.23,5.11,6.03,8514110.00,570643000.00,0.20511,0.218674,0.190232,0.215189,242636000.00,7864700000.00,11.07,12.07,8.77,11.71,218917000.00,653177000.00,15.82,16.85,14.3,16.58,218190000.00,1506490000.00,8.68,11.28,7.6,10.98,111430000.00,852870000.00,20.87,23.62,18.91,21.53,349885.00,26115800.00,0.276383,0.292048,0.250638,0.286227,7635410.00,2487450000.00,65.25,72.44,59.05,71.29,1016090000.00,3444150000.00,297.57,318.57,268.29,312.99,1551050000.00,28100000000.00,316.88,333.83,286.53,327.23,53928800.00,2388710000.00,106.75,122.63,95.81,118.82,113378000.00,1605070000.00
9/4/17,4591.63,4591.63,4108.4,4236.31,2987330000.00,75955500000.00,0.744257,0.744257,0.406795,0.566472,74601300.00,2068680000.00,608.26,608.26,500.75,517.24,328957000.00,10072200000.00,128.26,129.55,110.68,114.13,30395600.00,845031000.00,5.2,5.21,4.24,4.66,8324540.00,519570000.00,6.61,6.74,5.35,5.77,14669700.00,651334000.00,0.228781,0.228781,0.19596,0.204968,239613000.00,8772340000.00,15.29,15.44,10.22,10.98,161203000.00,902407000.00,18.54,18.71,15.37,15.84,243535000.00,1764650000.00,10.55,10.55,7.31,8.78,159979000.00,1037440000.00,26.91,27.34,17.99,20.74,716231.00,33673500.00,0.307735,0.310661,0.256488,0.27322,9299200.00,2769620000.00,76.73,76.73,61.24,65.21,922041000.00,4049140000.00,347.13,347.13,279.94,295.17,1801690000.00,32774000000.00,356.94,357.21,301.84,316.13,44170200.00,2689920000.00,126.23,126.23,101.73,106.17,89194700.00,1897480000.00
9/3/17,4585.27,4714.08,4417.59,4582.96,1933190000.00,75841700000.00,0.698855,0.775863,0.67285,0.743968,29504600.00,1942490000.00,578.27,617.41,563.59,607.43,344862000.00,9574520000.00,131.71,135.06,125.87,130.99,5244490.00,866869000.00,5.27,5.5,4.99,5.2,5174780.00,526827000.00,6.36,6.59,5.99,6.59,8487740.00,626826000.00,0.227229,0.236443,0.218662,0.228811,186526000.00,8712840000.00,16.41,16.74,14.19,15.29,98105400.00,967971000.00,20.18,20.47,18.07,18.57,221986000.00,1920050000.00,10.79,11.37,9.64,10.57,68616800.00,1060760000.00,27.7,29.36,24.99,26.9,493926.00,34662300.00,0.29817,0.320628,0.285382,0.307264,7413990.00,2683530000.00,78.98,82.83,73.61,76.84,675462000.00,4166600000.00,350.23,366.49,332.23,347.48,986266000.00,33059800000.00,354.63,373.08,338.23,356.39,34945200.00,2670270000.00,124.93,129.29,115.74,126.01,92631100.00,1877380000.00
9/2/17,4901.42,4975.04,4469.24,4578.77,2722140000.00,81060600000.00,0.79656,0.802464,0.658006,0.695547,39333900.00,2214060000.00,621.96,642.05,560.58,575.9,350478000.00,10297000000.00,141.11,142.8,128,131.33,5056030.00,926918000.00,5.78,5.87,5.07,5.23,6608910.00,577688000.00,7.27,7.27,6.18,6.34,11500400.00,716038000.00,0.249348,0.24968,0.217774,0.226669,329928000.00,9560940000.00,18.26,19.06,15.51,16.39,123479000.00,1077370000.00,22.04,23.68,18.18,20.08,648787000.00,2096550000.00,11.99,11.99,9.96,10.8,93561000.00,1178610000.00,32.49,33.01,26.79,27.24,633861.00,40658600.00,0.331627,0.332056,0.283507,0.295884,9560410.00,2984640000.00,85.83,92.07,72.23,79.02,1363990000.00,4526680000.00,387.82,389.35,328.1,348.98,1483600000.00,36601200000.00,393.53,395.92,329.27,350.17,54813400.00,2962400000.00,141.35,141.4,121.96,124.8,128849000.00,2123430000.00
9/1/17,4701.76,4892.01,4678.53,4892.01,2599080000.00,77748400000.00,0.842867,0.8791,0.768119,0.807778,28047000.00,2342770000.00,588.4,645.52,586.73,622.17,393839000.00,9740460000.00,135.66,140.97,133.47,140.97,7854700.00,890229000.00,5.95,6.1,5.72,5.74,9556080.00,595498000.00,7.28,7.78,6.97,7.25,22610800.00,717199000.00,0.255803,0.256162,0.243833,0.248479,283576000.00,9808460000.00,17.3,18.47,16.94,18.26,73618500.00,1020980000.00,16.4,22.45,16.32,21.94,821440000.00,1559510000.00,11.73,12.52,11.63,11.97,91962400.00,1153390000.00,35.67,35.9,31.35,32.45,1024920.00,44636600.00,0.336602,0.33778,0.312575,0.33231,12082700.00,3029420000.00,70.86,87.41,70.01,86.04,1551740000.00,3735870000.00,383.47,390.04,383.47,387.74,874222000.00,36182900000.00,377.92,393.35,376.34,393.35,55440700.00,2844110000.00,140.65,150.09,136.49,141.2,163961000.00,2112260000.00
8/31/17,4555.59,4736.05,4549.4,4703.39,1944930000.00,75322300000.00,0.869553,0.902074,0.828224,0.842424,15194300.00,2416950000.00,576.25,603.69,572.14,588.17,298144000.00,9538750000.00,135.6,136.88,132.24,135.63,6633480.00,888920000.00,5.47,5.94,5.38,5.94,9471090.00,546851000.00,7.27,7.63,7.11,7.28,15100200.00,716572000.00,0.227558,0.261038,0.225907,0.25563,432574000.00,8725450000.00,16.72,18.08,16.69,17.3,76872500.00,986295000.00,15.68,16.47,15.66,16.38,86584900.00,1489950000.00,11.17,12.08,10.78,11.74,89710200.00,1098470000.00,35.78,36.6,34.27,35.62,452411.00,44776600.00,0.295006,0.349178,0.294677,0.337213,22669900.00,2655060000.00,64.16,72.28,64.04,71.06,633147000.00,3381750000.00,378.44,386.14,376.35,383.04,706254000.00,35701500000.00,368.57,380.34,368.18,378.32,34978600.00,2773030000.00,131.95,141.97,131.21,140.41,131974000.00,1980860000.00
8/30/17,4570.36,4626.52,4471.41,4565.3,1937850000.00,75556600000.00,0.812777,0.878203,0.792339,0.869647,17428100.00,2259140000.00,549.32,604.69,535.92,575.21,443856000.00,9092300000.00,128.06,137.29,127.68,136.06,9923160.00,838560000.00,5.44,5.49,5.13,5.48,6659820.00,544366000.00,6.84,7.35,6.72,7.33,12604000.00,674382000.00,0.218871,0.229805,0.217476,0.228006,181186000.00,8392340000.00,19.05,19.05,14.58,16.84,145512000.00,1124200000.00,15.8,16.06,15.48,15.66,66337400.00,1500740000.00,9.49,11.67,9.3,11.07,194613000.00,932958000.00,34.89,38.4,34.61,35.84,549569.00,43694000.00,0.282948,0.298444,0.281908,0.295817,8605120.00,2546530000.00,63.16,64.21,60.9,64.17,240309000.00,3328240000.00,369.47,388.75,361.97,378.49,1333320000.00,34848400000.00,359.59,375.7,358.69,368.34,44586300.00,2704790000.00,133.84,135.83,124.06,132.38,106543000.00,2008790000.00
8/29/17,4389.21,4625.68,4352.13,4579.02,2486080000.00,72553800000.00,0.876892,0.877578,0.746405,0.811961,28538500.00,2437350000.00,596.13,599.3,528.32,552.93,370017000.00,9866110000.00,119.01,129.24,114.84,128.24,9907640.00,778470000.00,5.27,5.47,5.13,5.45,7581710.00,527066000.00,7.27,7.29,6.49,6.96,18303600.00,715769000.00,0.224026,0.225926,0.214867,0.218564,269770000.00,8590000000.00,16.28,20.04,16.28,19.15,216784000.00,960486000.00,15.79,15.99,15.72,15.79,68677500.00,1499090000.00,8.58,9.62,8.45,9.46,86155000.00,843249000.00,36.12,36.84,34.43,34.92,489247.00,45236000.00,0.280268,0.287156,0.278896,0.283717,7845260.00,2522410000.00,62.39,63.29,61.26,63.17,294799000.00,3286610000.00,347.96,373.76,347.79,370.67,1220030000.00,32813200000.00,357.16,367.34,354.49,359.55,50014900.00,2685760000.00,144.24,144.5,128.02,133.03,104869000.00,2163850000.00
8/28/17,4384.45,4403.93,4224.64,4382.66,1959330000.00,72467900000.00,0.922464,0.927742,0.784779,0.875197,24288200.00,2564020000.00,619.7,626.88,595.52,596.18,216273000.00,10254800000.00,114.84,120.45,86.11,118.75,6444290.00,750345000.00,5.22,5.41,5.02,5.26,7208780.00,522486000.00,6.93,7.58,6.62,7.24,19477300.00,683032000.00,0.203425,0.23626,0.19661,0.224508,542468000.00,7800090000.00,15.66,16.35,14.86,16.24,82850200.00,923722000.00,16.09,16.46,15.65,15.79,96308800.00,1527600000.00,8.33,8.93,8.15,8.59,52390300.00,819005000.00,35.56,36.2,34.11,36.07,402594.00,44537800.00,0.274706,0.288868,0.271786,0.278257,9644680.00,2472360000.00,61.36,64.92,59.87,62.36,556637000.00,3231200000.00,350.04,352.05,338.41,347.75,854319000.00,33002700000.00,362.5,369.19,351.24,356.78,57630700.00,2725220000.00,130.76,154.58,129.06,145.4,216036000.00,1961250000.00
8/27/17,4345.1,4416.59,4317.29,4382.88,1537460000.00,71809200000.00,0.962058,0.979088,0.887365,0.920351,17816000.00,2674070000.00,625.89,654.87,589.63,620.9,402718000.00,10357000000.00,116.11,129.98,101.65,114.99,4895670.00,757691000.00,5.34,5.51,5.18,5.23,7212980.00,534242000.00,6.3,7.63,6.29,6.97,24137600.00,620679000.00,0.212617,0.212617,0.197717,0.202995,193971000.00,8152540000.00,15.42,15.86,14.74,15.7,56474400.00,909788000.00,15.27,16.37,15.26,16.02,150740000.00,1449670000.00,8.29,8.37,8.03,8.33,22915000.00,815412000.00,35.16,36.33,34.05,35.53,372296.00,44033500.00,0.270562,0.280701,0.264681,0.274641,8192460.00,2435060000.00,51.8,64.44,51.64,61.16,890546000.00,2726990000.00,334.36,347.89,334.36,347.89,633370000.00,31517500000.00,400.42,400.63,358.23,362.89,121516000.00,3009530000.00,137.59,138.88,124.81,130.68,92742200.00,2057550000.00
