Date,Open,High,Low,Close,Volume,Market Cap
9/5/17,514.9,550.95,458.78,541.71,338978000.00,8527100000.00
9/4/17,608.26,608.26,500.75,517.24,328957000.00,10072200000.00
9/3/17,578.27,617.41,563.59,607.43,344862000.00,9574520000.00
9/2/17,621.96,642.05,560.58,575.9,350478000.00,10297000000.00
9/1/17,588.4,645.52,586.73,622.17,393839000.00,9740460000.00
8/31/17,576.25,603.69,572.14,588.17,298144000.00,9538750000.00
8/30/17,549.32,604.69,535.92,575.21,443856000.00,9092300000.00
8/29/17,596.13,599.3,528.32,552.93,370017000.00,9866110000.00
8/28/17,619.7,626.88,595.52,596.18,216273000.00,10254800000.00
8/27/17,625.89,654.87,589.63,620.9,402718000.00,10357000000.00
8/26/17,641.88,646.93,622.36,625.32,193414000.00,10616100000.00
8/25/17,627.06,665.41,624.3,641.05,348632000.00,10365600000.00
8/24/17,670.03,697.32,617.31,628.11,407177000.00,11071100000.00
8/23/17,690.96,715.67,651.32,669.4,501983000.00,11416800000.00
8/22/17,596.19,734.88,570.27,690.88,1393260000.00,9844620000.00
8/21/17,723.7,756.59,573.47,599.63,1123400000.00,11943100000.00
8/20/17,772.42,858.96,683.94,712.87,1494020000.00,12742600000.00
8/19/17,697.04,1091.97,625.16,754.56,3196230000.00,11498100000.00
8/18/17,458.67,764.07,458.67,690.24,3087490000.00,7565590000.00
8/17/17,301.02,460.53,293.1,460.53,744605000.00,4964980000.00
8/16/17,297.97,307.62,290.21,300.21,106436000.00,4914350000.00
8/15/17,298.19,306.52,292.88,297.86,133924000.00,4917480000.00
8/14/17,296.1,327.39,293.5,297.68,174968000.00,4882720000.00
8/13/17,316.29,317.47,298.05,298.05,120722000.00,5215330000.00
8/12/17,327.82,341.85,313.7,317.09,126007000.00,5405200000.00
8/11/17,275.88,351.16,275.02,328.24,233971000.00,4548600000.00
8/10/17,305.21,311.68,274.68,275.95,136637000.00,5031790000.00
8/9/17,345.28,349.32,298.61,303.89,165032000.00,5691960000.00
8/8/17,321.35,386.29,309.61,345.49,274880000.00,5297390000.00
8/7/17,223.76,373.87,223.76,319.69,346546000.00,3688360000.00
8/6/17,212.18,223.7,203.44,220.66,107606000.00,3497290000.00
8/5/17,231.11,273.04,200.98,213.15,144043000.00,3809330000.00
8/4/17,362.18,386.93,233.05,233.05,185038000.00,5969720000.00
8/3/17,448.49,519.28,364.05,364.05,161518000.00,7392030000.00
8/2/17,382.38,756.93,309.33,452.66,416207000.00,6302360000.00
8/1/17,294.6,426.11,210.38,380.01,65988800.00,
7/31/17,346.36,347.82,266.19,294.46,1075960.00,
7/30/17,385.14,385.14,316.25,345.66,606695.00,
7/29/17,410.56,423.73,323.73,384.77,737815.00,
7/28/17,386.65,465.18,217.06,406.05,1230160.00,
7/27/17,417.1,460.97,367.78,385.48,533207.00,
7/26/17,407.08,486.16,321.79,365.82,1784640.00,
7/25/17,441.35,541.66,338.09,406.9,524908.00,
7/24/17,412.58,578.89,409.21,440.7,190952.00,
7/23/17,555.89,578.97,411.78,413.06,85013.00,
