Date,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd
1/3/09,0.00,50.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,50.00,0.00,0.00
1/5/09,0.00,50.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1/7/09,0.00,50.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1/9/09,0.00,750.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,14.00,14.00,15.00,14.00,14.00,700.00,0.00,0.00
1/11/09,0.00,7600.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,106.00,106.00,152.00,106.00,106.00,5300.00,0.00,0.00
1/13/09,0.00,17800.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,57500.00,0.00,117.00,116.00,363.00,116.00,116.00,5778.00,10.00,0.00
1/15/09,0.00,30450.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1533.82,0.00,136.00,136.00,625.00,136.00,136.00,6911.00,414.00,0.00
1/17/09,0.00,41650.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,5400.00,0.00,109.00,109.00,851.00,109.00,109.00,5500.00,100.00,0.00
1/19/09,0.00,52650.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,3966.67,0.00,120.00,120.00,1072.00,120.00,120.00,6100.00,150.00,0.00
1/21/09,0.00,64100.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1130.00,0.00,115.00,115.00,1305.00,115.00,115.00,6150.00,500.00,0.00
1/23/09,0.00,71200.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,2233.33,0.00,68.00,68.00,1449.00,68.00,68.00,3500.00,150.00,0.00
1/25/09,0.00,90850.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,19400.00,0.00,195.00,195.00,1845.00,195.00,195.00,9750.00,50.00,0.00
1/27/09,0.00,101800.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,447.83,0.00,105.00,105.00,2066.00,105.00,105.00,6300.00,1150.00,0.00
1/29/09,0.00,113050.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,122.00,122.00,2291.00,122.00,122.00,6100.00,0.00,0.00
1/31/09,0.00,125550.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,129.00,129.00,2542.00,129.00,129.00,6450.00,0.00,0.00
2/2/09,0.00,137700.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,127.00,127.00,2787.00,127.00,127.00,6350.00,0.00,0.00
2/4/09,0.00,150650.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,16171.44,0.00,129.00,126.00,3063.00,126.00,126.00,6300.00,38.00,0.00
2/6/09,0.00,163150.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,129.00,129.00,3313.00,129.00,129.00,6450.00,0.00,0.00
2/8/09,0.00,176150.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,670.00,0.00,135.00,135.00,3578.00,135.00,135.00,7700.00,1000.00,0.00
2/10/09,0.00,188900.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,127.00,127.00,3834.00,127.00,127.00,6350.00,0.00,0.00
