Date,Open,High,Low,Close,Volume,Market Cap
9/5/17,114.74,131.57,108.93,129.42,8537600.00,756793000.00
9/4/17,128.26,129.55,110.68,114.13,30395600.00,845031000.00
9/3/17,131.71,135.06,125.87,130.99,5244490.00,866869000.00
9/2/17,141.11,142.8,128,131.33,5056030.00,926918000.00
9/1/17,135.66,140.97,133.47,140.97,7854700.00,890229000.00
8/31/17,135.6,136.88,132.24,135.63,6633480.00,888920000.00
8/30/17,128.06,137.29,127.68,136.06,9923160.00,838560000.00
8/29/17,119.01,129.24,114.84,128.24,9907640.00,778470000.00
8/28/17,114.84,120.45,86.11,118.75,6444290.00,750345000.00
8/27/17,116.11,129.98,101.65,114.99,4895670.00,757691000.00
8/26/17,100.14,136.51,93.25,116.13,995116.00,652789000.00
8/25/17,123.4,149.89,38.98,100.87,3353200.00,803652000.00
8/24/17,128.05,131.49,119.89,127.08,8552010.00,832860000.00
8/23/17,120.2,130.43,119.72,127.97,9692110.00,781010000.00
8/22/17,116.16,121.95,106.55,120.44,6273350.00,754043000.00
8/21/17,116.32,118.05,112.68,115.91,7667050.00,754278000.00
8/20/17,119.53,119.61,114.63,116.77,4730720.00,774327000.00
8/19/17,121.01,132.04,111.47,120.04,6751140.00,783024000.00
8/18/17,117.65,124.19,115.06,121.08,7858910.00,760435000.00
8/17/17,119.23,122.91,115.32,117.9,9416780.00,769810000.00
8/16/17,112.38,119.41,107.07,119.36,8065040.00,724865000.00
8/15/17,113.03,116.79,104.35,112.26,8375150.00,728298000.00
8/14/17,103.3,112.83,98.87,112.73,7806160.00,664460000.00
8/13/17,104.71,113.37,100.17,103.23,5104100.00,672851000.00
8/12/17,98.88,106.88,97.91,104.76,6396390.00,634327000.00
8/11/17,91.57,100.27,91.22,98.96,8535500.00,586851000.00
8/10/17,85.94,92.18,85.46,91.54,8170850.00,550213000.00
8/9/17,86.45,86.89,83.16,85.91,6557630.00,552995000.00
8/8/17,83.13,87.32,83.03,86.51,8050680.00,530677000.00
8/7/17,79.2,84.9,78.36,83.05,4506370.00,505097000.00
8/6/17,79.13,81.21,75.75,79.32,3382890.00,504140000.00
8/5/17,70.72,80.61,70.72,79.13,4215220.00,450089000.00
8/4/17,69.41,71.1,67.85,70.9,4766590.00,441261000.00
8/3/17,65.09,69.85,64.73,69.35,4382480.00,413366000.00
8/2/17,50.73,70.3,49.78,64.93,3277460.00,321857000.00
8/1/17,65.98,66.14,41.09,52.44,261126.00,416441000.00
