Date,Open,High,Low,Close,Volume,Market Cap
9/5/17,316.88,333.83,286.53,327.23,53928800.00,2388710000.00
9/4/17,356.94,357.21,301.84,316.13,44170200.00,2689920000.00
9/3/17,354.63,373.08,338.23,356.39,34945200.00,2670270000.00
9/2/17,393.53,395.92,329.27,350.17,54813400.00,2962400000.00
9/1/17,377.92,393.35,376.34,393.35,55440700.00,2844110000.00
8/31/17,368.57,380.34,368.18,378.32,34978600.00,2773030000.00
8/30/17,359.59,375.7,358.69,368.34,44586300.00,2704790000.00
8/29/17,357.16,367.34,354.49,359.55,50014900.00,2685760000.00
8/28/17,362.5,369.19,351.24,356.78,57630700.00,2725220000.00
8/27/17,400.42,400.63,358.23,362.89,121516000.00,3009530000.00
8/26/17,315.28,409.77,315.28,399.85,267415000.00,2369010000.00
8/25/17,317.91,320.65,306.68,315.89,53632700.00,2388160000.00
8/24/17,292.96,315.37,291.19,315.37,58804500.00,2200130000.00
8/23/17,290.46,299.14,287.73,292.57,47798300.00,2180790000.00
8/22/17,280.29,299.98,260.53,291.5,74971200.00,2103900000.00
8/21/17,293.77,300.52,275.94,279.58,58023900.00,2204480000.00
8/20/17,288.2,327.25,287.82,294.2,107973000.00,2162080000.00
8/19/17,224.67,329.98,224.67,288.7,220487000.00,1685040000.00
8/18/17,233.84,240.41,219.42,224.28,50324200.00,1753350000.00
8/17/17,231.58,260.6,229.08,233.62,98375500.00,1736000000.00
8/16/17,203.85,233.53,198.92,232.02,63100100.00,1527710000.00
8/15/17,199.8,206.13,192.73,203.52,37532600.00,1496920000.00
8/14/17,198.32,202.89,195.35,199.44,29888400.00,1485500000.00
8/13/17,205.59,207.19,192.14,198.17,36281800.00,1539490000.00
8/12/17,206.22,210.64,201.38,205.49,30017500.00,1543820000.00
8/11/17,200.82,209.11,199.59,205.79,28677400.00,1502990000.00
8/10/17,199.56,205.54,195.78,200.96,30972000.00,1493200000.00
8/9/17,203.74,205.87,193.33,199.21,31657100.00,1524040000.00
8/8/17,196.58,205.5,194.97,203.84,35117200.00,1470120000.00
8/7/17,189.07,197.91,187.05,197.19,32441600.00,1413570000.00
8/6/17,193.71,195,188.43,189.13,25336000.00,1447880000.00
8/5/17,186.96,195.55,185.73,193.83,41127900.00,1397060000.00
8/4/17,186.92,189.96,186.13,186.97,28791800.00,1395520000.00
8/3/17,183.17,189.19,180.28,186.99,25612400.00,1367150000.00
8/2/17,185.16,186.24,181.42,182.93,19076200.00,1381630000.00
8/1/17,179.2,186.23,177.26,184.75,34656300.00,1336810000.00
7/31/17,173.15,180.05,171.76,178.51,29249300.00,1291390000.00
7/30/17,185.45,187.95,172.47,172.82,25327200.00,1382710000.00
7/29/17,185.11,187.66,169.34,185.25,40505200.00,1379860000.00
7/28/17,194,196.91,181.57,185.61,30108800.00,1445720000.00
7/27/17,195.08,199.43,192.47,194.09,26363200.00,1453370000.00
7/26/17,195.49,200.88,189.33,194.37,38380000.00,1456070000.00
7/25/17,204.04,212.4,189.03,195.52,84970400.00,1519340000.00
7/24/17,191.11,216.62,187.29,204.02,90278800.00,1422690000.00
7/23/17,195.02,195.74,187.26,191.03,31110400.00,1451390000.00
7/22/17,186.13,195.55,185.55,195.31,23312700.00,1384830000.00
7/21/17,188.58,193.8,180.68,185.86,32884200.00,1402760000.00
7/20/17,154.85,193.87,154.85,188.59,98932600.00,1151530000.00
7/19/17,157.98,170.25,153.87,155.65,28281400.00,1174490000.00
7/18/17,154.5,165.7,146.25,158.07,28103500.00,1148330000.00
7/17/17,132.34,154.91,132.34,153.85,32658200.00,983325000.00
