Date,Open,High,Low,Close,Volume,Market Cap
9/5/17,0.544132,0.646085,0.468949,0.613085,45817500.00,1512430000.00
9/4/17,0.744257,0.744257,0.406795,0.566472,74601300.00,2068680000.00
9/3/17,0.698855,0.775863,0.67285,0.743968,29504600.00,1942490000.00
9/2/17,0.79656,0.802464,0.658006,0.695547,39333900.00,2214060000.00
9/1/17,0.842867,0.8791,0.768119,0.807778,28047000.00,2342770000.00
8/31/17,0.869553,0.902074,0.828224,0.842424,15194300.00,2416950000.00
8/30/17,0.812777,0.878203,0.792339,0.869647,17428100.00,2259140000.00
8/29/17,0.876892,0.877578,0.746405,0.811961,28538500.00,2437350000.00
8/28/17,0.922464,0.927742,0.784779,0.875197,24288200.00,2564020000.00
8/27/17,0.962058,0.979088,0.887365,0.920351,17816000.00,2674070000.00
8/26/17,0.915926,0.970068,0.877886,0.962213,16623100.00,2545840000.00
8/25/17,0.894733,0.934651,0.837866,0.919635,18226300.00,2486940000.00
8/24/17,0.854043,0.895101,0.81388,0.895101,17132900.00,2373840000.00
8/23/17,0.842517,0.940389,0.834667,0.850371,27418300.00,2341800000.00
8/22/17,0.901778,0.901778,0.786259,0.843775,26333800.00,2506520000.00
8/21/17,0.907423,0.939166,0.843577,0.906269,32558600.00,2522210000.00
8/20/17,0.971222,1.02,0.939619,0.942205,29447600.00,2699540000.00
8/19/17,0.87158,0.985748,0.778133,0.978521,39975500.00,2422580000.00
8/18/17,1.01,1.03,0.7744,0.870147,58053400.00,2819080000.00
8/17/17,1.04,1.1,0.998241,1.02,58209300.00,2904020000.00
8/16/17,0.914727,1.05,0.878567,1.05,52081500.00,2542510000.00
8/15/17,0.97732,0.995791,0.767236,0.917949,84698300.00,2716490000.00
8/14/17,0.811738,0.976404,0.793682,0.976404,54630900.00,2256250000.00
8/13/17,0.722169,0.82953,0.715382,0.807713,41198400.00,2007290000.00
8/12/17,0.655191,0.72796,0.625521,0.721535,20358000.00,1821120000.00
8/11/17,0.565525,0.710585,0.557827,0.654872,43618800.00,1571890000.00
8/10/17,0.535805,0.588071,0.51325,0.566456,16602500.00,1489290000.00
8/9/17,0.547121,0.555125,0.512566,0.543328,13294400.00,1520740000.00
8/8/17,0.473874,0.55088,0.458992,0.547637,21988500.00,1317150000.00
8/7/17,0.430804,0.491028,0.418088,0.474577,14717700.00,1197430000.00
8/6/17,0.40769,0.440193,0.396851,0.431142,6276510.00,1133190000.00
8/5/17,0.393176,0.427798,0.364083,0.40798,9091140.00,1092850000.00
8/4/17,0.332239,0.420252,0.332239,0.391286,20179000.00,923468000.00
8/3/17,0.286578,0.336844,0.284765,0.332352,8239810.00,796552000.00
8/2/17,0.290135,0.293039,0.272032,0.286116,3439800.00,806440000.00
8/1/17,0.256665,0.296267,0.249623,0.29022,5169910.00,713408000.00
7/31/17,0.255064,0.25981,0.245768,0.254732,2563820.00,708959000.00
7/30/17,0.277339,0.279401,0.252831,0.254785,3165840.00,770872000.00
7/29/17,0.266567,0.277226,0.245848,0.27519,2788270.00,740931000.00
7/28/17,0.274876,0.278459,0.262736,0.265118,2884740.00,764026000.00
7/27/17,0.27685,0.285551,0.275467,0.275467,3343540.00,769512000.00
