Date,Open,High,Low,Close,Volume,Market Cap
9/5/17,21.88,23.85,18.93,22.8,91402300.00,1093860000.00
9/4/17,30.44,30.44,17.4,21.83,189917000.00,1522090000.00
9/3/17,31.77,32.65,28.58,30.32,43232300.00,1588690000.00
9/2/17,31.69,34.81,28.55,31.72,92722600.00,1584390000.00
9/1/17,33.17,33.57,28.87,32.01,75418900.00,1658680000.00
8/31/17,32.93,35.09,32.6,33.16,49957300.00,1646720000.00
8/30/17,33.48,35.84,29.71,33.1,97289600.00,1673910000.00
8/29/17,38.46,38.46,30.69,33.66,168534000.00,1922840000.00
8/28/17,40.23,40.31,37.38,38.45,41401000.00,2011600000.00
8/27/17,38.58,41.23,37.42,40.09,50649600.00,1928770000.00
8/26/17,40.31,40.52,37.7,38.59,41017800.00,2015360000.00
8/25/17,41.96,42.26,39.78,40.3,47772200.00,2098230000.00
8/24/17,39.92,42.13,39.31,42.05,63875500.00,1996230000.00
8/23/17,35.83,44.03,35.25,40,131763000.00,1791670000.00
8/22/17,35.16,36.17,31.6,35.85,68265300.00,1758180000.00
8/21/17,38.04,38.28,34.15,35.3,85955000.00,1902060000.00
8/20/17,39.63,40.65,38.16,38.19,85862200.00,1981640000.00
8/19/17,38.86,42.22,35.4,39.97,168358000.00,1943180000.00
8/18/17,40.85,41.16,31.32,38.85,209845000.00,2042450000.00
8/17/17,45.72,46.34,38.91,40.69,191410000.00,2286130000.00
8/16/17,46.98,51.24,44.69,45.54,170273000.00,2349050000.00
8/15/17,47.5,47.99,39.52,47.49,262801000.00,2375010000.00
8/14/17,47.63,52.02,44.79,47.43,343705000.00,2381360000.00
8/13/17,36.86,52.63,35.32,46.65,448654000.00,1843040000.00
8/12/17,33.16,37.37,30.45,36.61,177772000.00,1657810000.00
8/11/17,36.32,39.13,27.58,33.5,382070000.00,1815780000.00
8/10/17,21.68,38.44,21.36,36.18,360125000.00,1084180000.00
8/9/17,18.34,21.94,17.46,21.75,116795000.00,917009000.00
8/8/17,18.73,19.34,15.59,18.27,124589000.00,936705000.00
8/7/17,15.2,20.24,14.36,18.68,166514000.00,759959000.00
8/6/17,14.17,16.19,13.42,15.21,81450800.00,708471000.00
8/5/17,10.39,14.95,10.24,14.02,82680400.00,519506000.00
8/4/17,10.84,11.22,9.97,10.43,56285500.00,541832000.00
8/3/17,8.19,10.7,8.06,10.67,49848800.00,409434000.00
8/2/17,7.85,8.3,7.71,8.11,17559000.00,392732000.00
8/1/17,7.36,8.2,6.96,7.86,18527900.00,368123000.00
7/31/17,7.16,7.43,7.02,7.33,10856600.00,358222000.00
7/30/17,7.27,7.3,6.94,7.15,9006030.00,363345000.00
7/29/17,7.09,7.46,6.76,7.26,10518400.00,354258000.00
7/28/17,7.75,7.88,6.93,7.09,15725800.00,387410000.00
7/27/17,7.22,7.94,7.13,7.72,15251100.00,360772000.00
7/26/17,7.33,7.59,6.58,7.17,16765600.00,366562000.00
7/25/17,8.48,8.48,6.88,7.35,19480400.00,423876000.00
7/24/17,8.61,8.81,8.19,8.46,21283700.00,430471000.00
7/23/17,8.64,8.93,7.76,8.57,29915100.00,431881000.00
7/22/17,7.39,9.12,7.31,8.62,32890800.00,369727000.00
7/21/17,7.24,7.97,7.03,7.42,21298000.00,361826000.00
7/20/17,5.89,7.47,5.89,7.21,25476100.00,294317000.00
7/19/17,6.04,6.23,5.65,5.88,14255500.00,301935000.00
7/18/17,5.77,6.29,5.51,6.02,18101700.00,288470000.00
7/17/17,5.06,5.85,5.03,5.77,15013000.00,253054000.00
7/16/17,5.03,5.27,4.83,5.04,9498420.00,251399000.00
7/15/17,5.55,5.55,4.98,5.03,11294200.00,277400000.00
7/14/17,6.27,6.29,5.42,5.54,12351000.00,313433000.00
7/13/17,6.68,6.95,5.91,6.29,17824000.00,334240000.00
7/12/17,5.31,6.69,5.07,6.63,23337300.00,265564000.00
7/11/17,5.93,6.11,4.83,5.4,20182900.00,296309000.00
7/10/17,6.91,6.96,5.58,6.03,11395300.00,345719000.00
7/9/17,7.4,7.62,6.87,6.9,10422500.00,370072000.00
7/8/17,6.79,7.63,5.91,7.45,24138500.00,339382000.00
7/7/17,7.83,7.89,6.74,6.77,16409500.00,391569000.00
7/6/17,7.98,8.34,7.69,7.84,17932500.00,399093000.00
7/5/17,7.77,8.66,7.23,8.03,29368100.00,388453000.00
7/4/17,8.22,8.49,7.77,7.78,15781600.00,410831000.00
7/3/17,8.06,8.48,7.52,8.22,28820400.00,402786000.00
7/2/17,7.96,8.51,6.75,8.1,47478700.00,397988000.00
7/1/17,8.77,9.24,7.74,7.95,33128400.00,438293000.00
6/30/17,9.72,10,8.6,8.73,43355500.00,485988000.00
6/29/17,8.34,10.07,7.91,9.77,77050000.00,416970000.00
6/28/17,6.96,8.69,6.49,8.38,72982300.00,347826000.00
6/27/17,5.35,7.26,5.09,6.83,71029700.00,267538000.00
6/26/17,5.95,6.22,4.42,5.53,27615900.00,297587000.00
6/25/17,6.29,6.46,5.66,5.95,24890900.00,314543000.00
6/24/17,6.87,7.11,6.25,6.3,33359500.00,343738000.00
6/23/17,6.92,7.43,5.78,6.84,67033300.00,346025000.00
6/22/17,10.16,10.51,6.9,6.94,115249000.00,507921000.00
6/21/17,8.04,10.21,7.81,10.15,88374400.00,401956000.00
6/20/17,11.79,11.79,7.87,8,126661000.00,589390000.00
6/19/17,5.46,11.81,5.46,11.72,281341000.00,273011000.00
6/18/17,3.79,5.26,3.47,5.26,61381000.00,189717000.00
6/17/17,2.8,4.18,2.7,3.76,82601000.00,139894000.00
6/16/17,1.8,2.81,1.72,2.77,45782200.00,90202000.00
6/15/17,1.74,1.84,1.54,1.78,9550940.00,86947000.00
6/14/17,1.81,1.94,1.68,1.74,10497200.00,90657000.00
6/13/17,1.5,1.86,1.5,1.81,10456500.00,75221500.00
6/12/17,1.67,1.69,1.4,1.51,7492490.00,83716000.00
6/11/17,1.69,1.73,1.52,1.67,6479410.00,84426000.00
6/10/17,1.54,2.07,1.53,1.68,17295300.00,77129000.00
6/9/17,1.36,1.59,1.33,1.55,9728020.00,67874000.00
6/8/17,1.27,1.36,1.19,1.36,7118290.00,63677000.00
6/7/17,1.34,1.36,1.27,1.28,2994510.00,66929500.00
6/6/17,1.28,1.37,1.2,1.34,5234170.00,63757000.00
6/5/17,1.27,1.35,1.25,1.28,3876920.00,63267500.00
6/4/17,1.25,1.32,1.22,1.26,2572220.00,62425500.00
6/3/17,1.36,1.36,1.15,1.26,4049740.00,68122000.00
6/2/17,1.25,1.4,1.18,1.35,7157890.00,62290500.00
6/1/17,1.03,1.3,1.01,1.24,8061920.00,51383000.00
5/31/17,1.02,1.08,0.966531,1.03,3001020.00,51167000.00
5/30/17,0.975403,1.13,0.970573,1.02,5393720.00,48770200.00
5/29/17,0.921727,0.974728,0.873447,0.966765,2171000.00,46086400.00
5/28/17,0.989557,1.07,0.814832,0.930106,5133830.00,49477900.00
5/27/17,0.806824,1.03,0.598245,0.982348,7025920.00,40341200.00
5/26/17,1.11,1.22,0.69411,0.826549,6847940.00,55293000.00
5/25/17,1.74,1.74,1.01,1.11,12458000.00,87149500.00
5/24/17,0.878954,1.9,0.863444,1.76,22900400.00,43947700.00
5/23/17,0.721726,0.901805,0.695115,0.877157,3858760.00,36086300.00
5/22/17,0.682007,0.742591,0.669175,0.720486,2331300.00,34100400.00
5/21/17,0.665434,0.744667,0.618864,0.664141,2621930.00,33271700.00
5/20/17,0.638148,0.671513,0.612225,0.665485,1476170.00,31907400.00
5/19/17,0.539752,0.682251,0.539752,0.63186,1884600.00,26987600.00
5/18/17,0.533423,0.552265,0.514519,0.539481,1201540.00,26671200.00
5/17/17,0.464285,0.531643,0.454101,0.531643,1328670.00,23214200.00
5/16/17,0.474567,0.474567,0.452551,0.463667,637204.00,23728400.00
5/15/17,0.477364,0.4933,0.45415,0.470057,897219.00,23868200.00
5/14/17,0.483372,0.490861,0.473253,0.477543,501693.00,24168600.00
5/13/17,0.487873,0.491284,0.451528,0.484544,616908.00,24393600.00
5/12/17,0.480874,0.508175,0.469682,0.487684,548028.00,24043700.00
5/11/17,0.504314,0.520573,0.431391,0.481077,953152.00,25215700.00
5/10/17,0.44926,0.541055,0.44926,0.503894,843243.00,22463000.00
5/9/17,0.496131,0.501255,0.407576,0.44937,1076450.00,24806600.00
5/8/17,0.5303,0.542761,0.486931,0.496572,1025750.00,26515000.00
5/7/17,0.585263,0.591143,0.516306,0.535792,1249060.00,29263200.00
5/6/17,0.572854,0.59035,0.537649,0.58767,1341720.00,28642700.00
5/5/17,0.493833,0.576426,0.470129,0.576426,2660100.00,24691600.00
5/4/17,0.345096,0.500403,0.334537,0.500309,2317450.00,17254800.00
5/3/17,0.314746,0.348589,0.309078,0.343782,758237.00,15737300.00
5/2/17,0.319147,0.326074,0.280153,0.314833,588824.00,15957400.00
5/1/17,0.361689,0.361689,0.269563,0.318838,1142050.00,18084400.00
4/30/17,0.271731,0.362409,0.268994,0.360099,1631520.00,13586500.00
4/29/17,0.229612,0.29057,0.221128,0.271729,960013.00,11480600.00
4/28/17,0.202194,0.229271,0.20142,0.229255,473689.00,10109700.00
4/27/17,0.184394,0.20851,0.181833,0.202092,327972.00,9219700.00
4/26/17,0.183475,0.188085,0.179909,0.184577,185400.00,9173750.00
4/25/17,0.173606,0.184094,0.166802,0.183504,241805.00,8680300.00
4/24/17,0.177077,0.177153,0.163354,0.173758,262706.00,8853850.00
4/23/17,0.180684,0.185985,0.169937,0.17496,175678.00,9034200.00
4/22/17,0.178943,0.188524,0.173304,0.183058,288119.00,8947150.00
4/21/17,0.184685,0.185694,0.174442,0.178122,263127.00,9234250.00
4/20/17,0.189534,0.191015,0.178645,0.184725,222525.00,9476700.00
4/19/17,0.180622,0.190709,0.178089,0.189408,297302.00,9031100.00
4/18/17,0.19191,0.192224,0.176355,0.180479,348694.00,9595500.00
4/17/17,0.191583,0.192535,0.179468,0.191489,331308.00,9579150.00
4/16/17,0.193672,0.19565,0.188923,0.192076,167886.00,9683600.00
4/15/17,0.192991,0.194574,0.190452,0.192164,76566.00,9649550.00
4/14/17,0.19154,0.19396,0.190495,0.192958,103138.00,9577000.00
4/13/17,0.193966,0.196013,0.190089,0.191686,147722.00,9698300.00
4/12/17,0.198357,0.200199,0.191723,0.195553,192252.00,9917850.00
4/11/17,0.209023,0.211772,0.189697,0.197826,257457.00,10451200.00
4/10/17,0.188842,0.220733,0.186149,0.207874,208420.00,9442100.00
4/9/17,0.189679,0.191026,0.186312,0.188861,97362.00,9483950.00
4/8/17,0.189456,0.193674,0.188398,0.190221,54654.00,9472800.00
4/7/17,0.187871,0.192661,0.184796,0.188531,81618.00,9393550.00
4/6/17,0.184767,0.190455,0.184234,0.18643,82505.00,9238350.00
4/5/17,0.185082,0.192548,0.182758,0.184719,102043.00,9254100.00
4/4/17,0.199874,0.202591,0.181038,0.185002,148096.00,9993700.00
4/3/17,0.205808,0.205959,0.196132,0.199703,104805.00,10290400.00
4/2/17,0.203584,0.206776,0.200261,0.20548,102369.00,10179200.00
4/1/17,0.203606,0.206153,0.19444,0.205017,109993.00,10180300.00
3/31/17,0.210236,0.213953,0.196505,0.203541,291529.00,10511800.00
3/30/17,0.212468,0.22193,0.206085,0.210556,504940.00,10623400.00
3/29/17,0.22065,0.225506,0.205719,0.212428,335567.00,11032500.00
3/28/17,0.186277,0.235749,0.180596,0.220632,821674.00,9313850.00
3/27/17,0.161165,0.191642,0.160717,0.186426,201563.00,8058250.00
3/26/17,0.167267,0.175043,0.158772,0.160384,37656.00,8363350.00
3/25/17,0.166941,0.167388,0.157475,0.167305,47641.00,8347050.00
3/24/17,0.166412,0.178022,0.159289,0.166465,52184.00,8320600.00
3/23/17,0.173183,0.176421,0.156976,0.166412,38169.00,8659150.00
3/22/17,0.164951,0.179551,0.159475,0.173143,157814.00,8247550.00
3/21/17,0.153972,0.167727,0.150715,0.164934,234287.00,7698600.00
3/20/17,0.157444,0.162542,0.149597,0.153898,68539.00,7872200.00
3/19/17,0.159019,0.163016,0.149322,0.15756,68673.00,7950950.00
3/18/17,0.140006,0.172281,0.140006,0.158987,188985.00,7000300.00
3/17/17,0.131324,0.166127,0.122856,0.139902,63413.00,6566200.00
3/16/17,0.128773,0.136685,0.125514,0.131867,20678.00,6438650.00
3/15/17,0.133699,0.140774,0.128158,0.128653,16169.00,6684950.00
3/14/17,0.136986,0.137204,0.127028,0.133681,23746.00,6849300.00
3/13/17,0.140799,0.140823,0.127288,0.136979,23196.00,7039950.00
3/12/17,0.142217,0.14357,0.131473,0.140575,36588.00,7110850.00
3/11/17,0.131403,0.142793,0.129965,0.142142,32281.00,6570150.00
3/10/17,0.132107,0.141972,0.120088,0.131476,34319.00,6605350.00
3/9/17,0.116266,0.140766,0.114151,0.132026,21035.00,5813300.00
3/8/17,0.122602,0.128715,0.116242,0.116242,5536.00,6130100.00
