Date,Open,High,Low,Close,Volume,Market Cap
9/5/17,20.87,23.62,18.91,21.53,349885.00,26115800.00
9/4/17,26.91,27.34,17.99,20.74,716231.00,33673500.00
9/3/17,27.7,29.36,24.99,26.9,493926.00,34662300.00
9/2/17,32.49,33.01,26.79,27.24,633861.00,40658600.00
9/1/17,35.67,35.9,31.35,32.45,1024920.00,44636600.00
8/31/17,35.78,36.6,34.27,35.62,452411.00,44776600.00
8/30/17,34.89,38.4,34.61,35.84,549569.00,43694000.00
8/29/17,36.12,36.84,34.43,34.92,489247.00,45236000.00
8/28/17,35.56,36.2,34.11,36.07,402594.00,44537800.00
8/27/17,35.16,36.33,34.05,35.53,372296.00,44033500.00
8/26/17,35.31,37.01,33.54,34.93,363769.00,44220200.00
8/25/17,35.51,37.67,32.94,35.24,845188.00,44468400.00
8/24/17,35.6,37.29,34.84,35.39,466415.00,44577800.00
8/23/17,35.53,38.34,34.85,36.49,443443.00,44506600.00
8/22/17,34.75,37.23,31.91,35.61,561611.00,43526300.00
8/21/17,42.41,48.73,33.48,34.58,2145180.00,53121100.00
8/20/17,34.73,43.36,32.52,42.53,1894140.00,43499200.00
8/19/17,35.56,37.01,31.6,34.84,582704.00,44542600.00
8/18/17,34.17,39.43,31.88,35.03,1612640.00,42797100.00
8/17/17,33.79,36.14,31.85,33.92,739864.00,42325000.00
8/16/17,31.27,37.92,30.37,33.62,864797.00,39176900.00
8/15/17,34.85,36.1,30.67,31.23,763238.00,43659400.00
8/14/17,36.8,38.09,32.76,34.65,763860.00,46104500.00
8/13/17,43.83,46.78,33.13,36.78,1431600.00,54913000.00
8/12/17,34.64,47.85,32.8,43.37,2680510.00,43392300.00
8/11/17,26.46,41.47,26.06,33.64,3202390.00,33143700.00
8/10/17,28.84,29.21,26.46,26.46,748370.00,36136200.00
8/9/17,27.96,33.04,26.79,29.24,1128830.00,35034100.00
8/8/17,27.86,28.34,25.22,27.97,521900.00,34067900.00
8/7/17,28.32,30.01,26.7,27.93,456117.00,34625700.00
