Date,Open,High,Low,Close,Volume,Market Cap
9/5/17,8.68,11.28,7.6,10.98,111430000.00,852870000.00
9/4/17,10.55,10.55,7.31,8.78,159979000.00,1037440000.00
9/3/17,10.79,11.37,9.64,10.57,68616800.00,1060760000.00
9/2/17,11.99,11.99,9.96,10.8,93561000.00,1178610000.00
9/1/17,11.73,12.52,11.63,11.97,91962400.00,1153390000.00
8/31/17,11.17,12.08,10.78,11.74,89710200.00,1098470000.00
8/30/17,9.49,11.67,9.3,11.07,194613000.00,932958000.00
8/29/17,8.58,9.62,8.45,9.46,86155000.00,843249000.00
8/28/17,8.33,8.93,8.15,8.59,52390300.00,819005000.00
8/27/17,8.29,8.37,8.03,8.33,22915000.00,815412000.00
8/26/17,8.26,8.33,7.85,8.28,25661900.00,812289000.00
8/25/17,8.38,8.46,8.04,8.27,24205300.00,823620000.00
8/24/17,8.2,8.39,7.97,8.37,31284200.00,806267000.00
8/23/17,7.61,8.66,7.58,8.24,64455600.00,748515000.00
8/22/17,7.67,7.76,6.96,7.62,41423400.00,753880000.00
8/21/17,8.45,8.6,7.34,7.67,71569400.00,830536000.00
8/20/17,7.76,8.84,7.17,8.44,74687700.00,762542000.00
8/19/17,7.31,7.93,6.42,7.8,70997400.00,718510000.00
8/18/17,8.4,8.45,6.32,7.34,104224000.00,825591000.00
8/17/17,8.89,9.47,8.29,8.4,131488000.00,873548000.00
8/16/17,6.67,9.02,6.67,8.87,204580000.00,655537000.00
8/15/17,6.94,7.05,6.16,6.69,67045700.00,682506000.00
8/14/17,6.88,7.38,6.25,7.02,85191300.00,676804000.00
8/13/17,6.18,7.53,5.36,6.94,128909000.00,607772000.00
8/12/17,7.2,7.4,5.83,6.19,87590300.00,707779000.00
8/11/17,5.96,7.81,5.41,7.23,200287000.00,586021000.00
8/10/17,3.41,6.36,3.38,5.93,234693000.00,335183000.00
8/9/17,3.62,3.68,3.26,3.45,24783900.00,355440000.00
8/8/17,3.15,3.76,3.07,3.61,49778700.00,309766000.00
8/7/17,2.7,3.25,2.63,3.15,34417900.00,265138000.00
