Date,Open,High,Low,Close,Volume,Market Cap
9/5/17,11.07,12.07,8.77,11.71,218917000.00,653177000.00
9/4/17,15.29,15.44,10.22,10.98,161203000.00,902407000.00
9/3/17,16.41,16.74,14.19,15.29,98105400.00,967971000.00
9/2/17,18.26,19.06,15.51,16.39,123479000.00,1077370000.00
9/1/17,17.3,18.47,16.94,18.26,73618500.00,1020980000.00
8/31/17,16.72,18.08,16.69,17.3,76872500.00,986295000.00
8/30/17,19.05,19.05,14.58,16.84,145512000.00,1124200000.00
8/29/17,16.28,20.04,16.28,19.15,216784000.00,960486000.00
8/28/17,15.66,16.35,14.86,16.24,82850200.00,923722000.00
8/27/17,15.42,15.86,14.74,15.7,56474400.00,909788000.00
8/26/17,13.26,15.89,12.97,15.41,88172500.00,782374000.00
8/25/17,13.75,13.85,12.85,13.32,26327100.00,811035000.00
8/24/17,11.87,14.13,11.64,13.78,72955500.00,700167000.00
8/23/17,11.05,12.47,11.04,11.9,36722000.00,651839000.00
8/22/17,11.2,11.41,10.17,11.06,25086300.00,660585000.00
8/21/17,11.8,11.87,10.82,11.23,29380800.00,696434000.00
8/20/17,11.54,12.35,10.82,11.79,40638800.00,680885000.00
8/19/17,11.62,12.36,9.69,11.64,54327300.00,685316000.00
8/18/17,13.09,13.09,11,11.63,43226400.00,772302000.00
8/17/17,14.36,14.37,12.82,13.06,50489100.00,847017000.00
8/16/17,14.67,15.42,14.15,14.35,59126000.00,865463000.00
8/15/17,15.01,15.3,13.83,14.68,62353100.00,885415000.00
8/14/17,15.1,17.16,14.36,15.06,103750000.00,890836000.00
8/13/17,13.92,15.84,12.79,15.17,75650500.00,821280000.00
8/12/17,14.73,15.47,12.85,13.9,59321200.00,868962000.00
8/11/17,15.63,16.36,14.33,14.73,91215900.00,922433000.00
8/10/17,12.55,16.99,12.42,15.77,133259000.00,740715000.00
8/9/17,11.49,12.63,11.07,12.55,52016000.00,677866000.00
8/8/17,12.64,12.74,10.84,11.5,63155600.00,746010000.00
8/7/17,10.03,12.84,9.88,12.65,95630200.00,591790000.00
