Date,Open,High,Low,Close,Volume,Market Cap
9/5/17,5.79,6.23,5.11,6.03,8514110.00,570643000.00
9/4/17,6.61,6.74,5.35,5.77,14669700.00,651334000.00
9/3/17,6.36,6.59,5.99,6.59,8487740.00,626826000.00
9/2/17,7.27,7.27,6.18,6.34,11500400.00,716038000.00
9/1/17,7.28,7.78,6.97,7.25,22610800.00,717199000.00
8/31/17,7.27,7.63,7.11,7.28,15100200.00,716572000.00
8/30/17,6.84,7.35,6.72,7.33,12604000.00,674382000.00
8/29/17,7.27,7.29,6.49,6.96,18303600.00,715769000.00
8/28/17,6.93,7.58,6.62,7.24,19477300.00,683032000.00
8/27/17,6.3,7.63,6.29,6.97,24137600.00,620679000.00
8/26/17,6.04,6.4,5.89,6.3,13291900.00,594785000.00
8/25/17,6.03,6.16,5.79,6.06,13223700.00,593706000.00
8/24/17,5.93,6.41,5.9,6,14075900.00,583904000.00
8/23/17,5.67,6.93,5.55,5.88,35363700.00,558913000.00
8/22/17,5.42,5.68,4.79,5.68,11947300.00,533582000.00
8/21/17,5.72,5.78,5.27,5.47,14688000.00,563415000.00
8/20/17,5.66,5.96,5.43,5.73,13936500.00,557626000.00
8/19/17,5.61,5.67,4.87,5.66,17616500.00,552835000.00
8/18/17,6.12,6.19,5.36,5.62,15643400.00,602570000.00
8/17/17,6.1,6.52,5.83,6.15,18775000.00,600694000.00
8/16/17,6.13,6.62,5.97,6.05,19390300.00,603644000.00
8/15/17,6.06,7.05,5.64,6.09,29168700.00,596646000.00
8/14/17,6.53,6.81,5.47,6.05,25360200.00,643558000.00
8/13/17,6.73,7.38,6.21,6.52,24769900.00,662468000.00
8/12/17,7.61,7.83,6.49,6.79,25362400.00,750072000.00
8/11/17,8.07,8.25,7.45,7.58,24356200.00,794844000.00
8/10/17,7.49,8.87,7.2,7.91,39078900.00,737685000.00
8/9/17,7.84,7.93,7.33,7.53,15452600.00,771777000.00
8/8/17,7.63,8.34,7.45,7.87,21843100.00,751997000.00
8/7/17,6.75,7.71,6.56,7.62,19820000.00,664642000.00
8/6/17,7.13,7.42,6.68,6.72,12383900.00,701954000.00
8/5/17,6.6,7.49,6.58,7.12,22170600.00,650402000.00
8/4/17,6.04,6.62,5.86,6.61,13083500.00,595242000.00
8/3/17,5.61,6.08,5.53,6.04,9794660.00,552183000.00
8/2/17,5.91,6,5.4,5.57,9212420.00,582364000.00
8/1/17,5.02,5.98,4.94,5.92,12038300.00,494159000.00
7/31/17,4.84,5.13,4.66,5,8754770.00,476325000.00
7/30/17,5.2,5.2,4.75,4.85,8457590.00,511780000.00
7/29/17,4.59,5.22,4.4,5.22,11185800.00,451636000.00
7/28/17,5,5.04,4.33,4.61,15690500.00,491910000.00
7/27/17,5.11,5.34,4.74,4.97,10071100.00,503595000.00
7/26/17,4.83,5.37,4.57,5.06,12565800.00,475864000.00
7/25/17,5.76,5.92,4.31,4.82,20657700.00,567608000.00
