Date,Open,High,Low,Close,Volume,Market Cap
9/5/17,4.68,5.1,4.32,4.98,6194560.00,467862000.00
9/4/17,5.2,5.21,4.24,4.66,8324540.00,519570000.00
9/3/17,5.27,5.5,4.99,5.2,5174780.00,526827000.00
9/2/17,5.78,5.87,5.07,5.23,6608910.00,577688000.00
9/1/17,5.95,6.1,5.72,5.74,9556080.00,595498000.00
8/31/17,5.47,5.94,5.38,5.94,9471090.00,546851000.00
8/30/17,5.44,5.49,5.13,5.48,6659820.00,544366000.00
8/29/17,5.27,5.47,5.13,5.45,7581710.00,527066000.00
8/28/17,5.22,5.41,5.02,5.26,7208780.00,522486000.00
8/27/17,5.34,5.51,5.18,5.23,7212980.00,534242000.00
8/26/17,5.28,5.74,5.11,5.32,9123230.00,528242000.00
8/25/17,5.02,5.46,4.94,5.27,9306450.00,502380000.00
8/24/17,4.63,5.02,4.55,5.02,3537820.00,463403000.00
8/23/17,4.49,4.82,4.44,4.6,2989630.00,449053000.00
8/22/17,4.38,4.74,3.81,4.46,3358640.00,437971000.00
8/21/17,4.85,4.88,4.33,4.39,4064960.00,485218000.00
8/20/17,4.43,4.92,4.29,4.86,4519570.00,442870000.00
8/19/17,4.3,4.45,4.1,4.43,3801000.00,429611000.00
8/18/17,4.57,4.73,4.1,4.3,2588840.00,456631000.00
8/17/17,4.81,4.95,4.46,4.58,2609230.00,481390000.00
8/16/17,4.8,4.96,4.58,4.83,2607640.00,479668000.00
8/15/17,4.73,5.16,4.31,4.79,5107560.00,473033000.00
8/14/17,4.83,5.04,4.54,4.72,5089710.00,483469000.00
8/13/17,5.05,5.28,4.63,4.79,5823330.00,504705000.00
8/12/17,5.58,5.58,4.89,5.05,6782250.00,557670000.00
8/11/17,5.6,5.78,5.13,5.54,7567900.00,560241000.00
8/10/17,5.24,5.63,5.15,5.6,7501860.00,524375000.00
8/9/17,5.38,5.45,4.9,5.27,4960110.00,538244000.00
8/8/17,5.64,5.83,5.04,5.41,6867910.00,564066000.00
8/7/17,5.18,5.75,4.62,5.64,7792050.00,518233000.00
8/6/17,4.32,5.37,4.29,5.21,7075590.00,432028000.00
8/5/17,3.67,4.57,3.65,4.32,4831480.00,367228000.00
8/4/17,3.87,4.13,3.59,3.67,4324800.00,386797000.00
8/3/17,3.54,3.96,3.46,3.84,4766700.00,354471000.00
8/2/17,3.02,3.6,2.96,3.51,3739710.00,302169000.00
8/1/17,2.77,3.11,2.61,3.01,3257400.00,277390000.00
7/31/17,2.74,2.87,2.62,2.78,2651760.00,273812000.00
7/30/17,2.87,2.93,2.72,2.72,1530680.00,286809000.00
7/29/17,2.98,3.06,2.69,2.87,2116910.00,297597000.00
7/28/17,2.76,3.11,2.45,3,3030820.00,276459000.00
7/27/17,2.74,2.84,2.6,2.75,1889170.00,274372000.00
7/26/17,2.92,2.99,2.5,2.74,3013790.00,291623000.00
